Election,1972-2020,,,,,
year,,,,,,
,,1972-1980,1984-1988,1992-2000,2004-2008,2012-2020
,State,,,,,
1,Alabama,11,10,9,9,9
2,Alaska,3,3,3,3,3
3,Arizona,4,5,6,7,8
4,Arkansas,8,6,6,6,6
5,California,32,40,45,47,54
6,Colorado,6,6,7,8,8
7,Connecticut,8,8,8,8,8
8,D.C.,,3,3,3,3
9,Delaware,3,3,3,3,3
10,Florida,10,14,17,21,25
11,Georgia,12,12,12,12,13
12,Hawaii,3,4,4,4,4
13,Idaho,4,4,4,4,4
14,Illinois,27,26,26,24,22
15,Indiana,13,13,13,12,12
16,Iowa,10,9,8,8,7
17,Kansas,8,7,7,7,6
18,Kentucky,10,9,9,9,8
19,Louisiana,10,10,10,10,9
20,Maine,5,4,4,4,4
21,Maryland,9,10,10,10,10
22,Massachusetts,16,14,14,13,12
23,Michigan,20,21,21,20,18
24,Minnesota,11,10,10,10,10
25,Mississippi,8,7,7,7,7
26,Missouri,13,12,12,11,11
27,Montana,4,4,4,4,3
28,Nebraska,6,5,5,5,5
29,Nevada,3,3,3,4,4
30,New Hampshire,4,4,4,4,4
31,New Jersey,16,17,17,16,15
32,New Mexico,4,4,4,5,5
33,New York,45,43,41,36,33
34,North Carolina,14,13,13,13,14
35,North Dakota,4,4,3,3,3
36,Ohio,25,26,25,23,21
37,Oklahoma,8,8,8,8,8
38,Oregon,6,6,6,7,7
39,Pennsylvania,32,29,27,25,23
40,Rhode Island,4,4,4,4,4
41,South Carolina,8,8,8,8,8
42,South Dakota,4,4,4,3,3
43,Tennessee,11,11,10,11,11
44,Texas,24,25,26,29,32
45,Utah,4,4,4,5,5
46,Vermont,3,3,3,3,3
47,Virginia,12,12,12,12,13
48,Washington,9,9,9,10,11
49,West Virginia,8,7,6,6,5
50,Wisconsin,12,12,11,11,11
51,Wyoming,3,3,3,3,3
#,Total,538,538,538,538,538
